的	〔白勹丶&nbsp;·&nbsp;unid〕
𮁇	〔石⺮亼口&nbsp;·&nbsp;mrjd〕
𮁈	〔石亼口羽&nbsp;·&nbsp;mjdz〕
𮁉	〔石阝⺈心&nbsp;·&nbsp;mtxh〕
𮁊	〔石王匚木&nbsp;·&nbsp;mnne〕
𮁋	〔石⻗日乚&nbsp;·&nbsp;mtoa〕
𮁌	〔石艹大皿&nbsp;·&nbsp;mlma〕
𮁍	〔石氵隹十&nbsp;·&nbsp;mkun〕
𮁎	〔石隹&nbsp;·&nbsp;meui〕
𮁏	〔石白幺十&nbsp;·&nbsp;muin&nbsp;miun〕
𮁐	〔石一冂木&nbsp;·&nbsp;mfme〕
𮁑	〔厂日月石&nbsp;·&nbsp;xovm〕
𮁒	〔石艹日土&nbsp;·&nbsp;mlog〕
𮁓	〔石田冫且&nbsp;·&nbsp;mqwf〕
𮁔	〔石艹戊臣&nbsp;·&nbsp;mlnq〕
𮁕	〔石冂&nbsp;·&nbsp;mpmh〕
𮁖	〔石耳耳耳&nbsp;·&nbsp;mqqq〕
𮁗	〔石車十寸&nbsp;·&nbsp;mynk〕
𮁘	〔石馬又又&nbsp;·&nbsp;mnrr〕
𮁙	〔石廿口隹&nbsp;·&nbsp;mldu〕
𮁚	〔石艹白木&nbsp;·&nbsp;mlue&nbsp;mlie〕
𮁛	〔石艹丿木&nbsp;·&nbsp;mlte〕
𮁜	〔示刀&nbsp;·&nbsp;fpd〕
𮁝	〔九示&nbsp;·&nbsp;kfs〕
𮁞	〔示⺊一&nbsp;·&nbsp;fyfi〕
𮁟	〔示𠂇厶&nbsp;·&nbsp;fnks〕
𮁠	〔示毛&nbsp;·&nbsp;fvm〕
𮁡	〔示冖&nbsp;·&nbsp;fwpe〕
𮁢	〔示生&nbsp;·&nbsp;fls〕
𮁣	〔示亽龴&nbsp;·&nbsp;fjks〕
𮁤	〔未示&nbsp;·&nbsp;afs〕
𮁥	〔示戊&nbsp;·&nbsp;fnu〕
𮁦	〔示口八&nbsp;·&nbsp;fdhb〕
𮁧	〔示册&nbsp;·&nbsp;fic〕
𮁨	〔𭼽示&nbsp;·&nbsp;hfs〕
𮁩	〔示厂口&nbsp;·&nbsp;fxdk〕
𮁪	〔示斤丶&nbsp;·&nbsp;ftid〕
𮁫	〔示宀丁&nbsp;·&nbsp;fwad〕
𮁬	〔示力口&nbsp;·&nbsp;fsdk〕
𮁭	〔示一日一&nbsp;·&nbsp;ffof〕
𮁮	〔示而&nbsp;·&nbsp;fle〕
𮁯	〔示大二ㄅ&nbsp;·&nbsp;fmma〕
𮁰	〔示𠂇⺝&nbsp;·&nbsp;fnvy〕
𮁱	〔示戈𠂇&nbsp;·&nbsp;fpns〕
𮁲	〔示日十&nbsp;·&nbsp;fons〕
𮁳	〔示乃木&nbsp;·&nbsp;fvem〕
𮁴	〔示行&nbsp;·&nbsp;fpx〕
𮁵	〔示人王&nbsp;·&nbsp;fjnw〕
𮁶	〔六示&nbsp;·&nbsp;apfs〕
𮁷	〔示亥&nbsp;·&nbsp;fkh〕
𮁸	〔十口冖示&nbsp;·&nbsp;ndwf〕
𮁹	〔歺又示&nbsp;·&nbsp;grfs〕
𮁺	〔示丿止廴&nbsp;·&nbsp;ftsu〕
𮁻	〔示㐅𠂇巾&nbsp;·&nbsp;fbnr〕
𮁼	〔示𠂉几冫&nbsp;·&nbsp;feow〕
𮁽	〔示厶矢&nbsp;·&nbsp;fkos〕
𮁾	〔示龴&nbsp;·&nbsp;fkty〕
𮁿	〔示大示&nbsp;·&nbsp;fmfs〕
𮂀	〔示&nbsp;·&nbsp;fqhb〕
𮂁	〔示乃土口&nbsp;·&nbsp;fvgd〕
𮂂	〔示㠯廴&nbsp;·&nbsp;fkuy〕
𮂃	〔女又大示&nbsp;·&nbsp;brmf〕
𮂄	〔示人禾&nbsp;·&nbsp;vfjx〕
𮂅	〔示戊一口&nbsp;·&nbsp;fnfd〕
𮂆	〔示厂日子&nbsp;·&nbsp;fxoh〕
𮂇	〔示日生&nbsp;·&nbsp;fols〕
𮂈	〔示臼工&nbsp;·&nbsp;fpug〕
𮂉	〔示文厂彡&nbsp;·&nbsp;fvxe〕
𮂊	〔示𠂉口田&nbsp;·&nbsp;fedq〕
𮂋	〔示厂白小&nbsp;·&nbsp;fxuy〕
𮂌	〔示覀木&nbsp;·&nbsp;fvem〕
𮂍	〔示田大&nbsp;·&nbsp;fqmm〕
𮂎	〔示㐅木殳&nbsp;·&nbsp;fber〕
𮂏	〔示弓厶虫&nbsp;·&nbsp;fbkc〕
𮂐	〔士殳示&nbsp;·&nbsp;gcrf〕
𮂑	〔土九示&nbsp;·&nbsp;ggkf〕
𮂒	〔示龶貝&nbsp;·&nbsp;faob〕
𮂓	〔示艹日大&nbsp;·&nbsp;flom〕
𮂔	〔示田&nbsp;·&nbsp;fgqt〕
𮂕	〔示⺷皿&nbsp;·&nbsp;fgam〕
𮂖	〔示弓一&nbsp;·&nbsp;fbff〕
𮂗	〔示覀大巳&nbsp;·&nbsp;fvmv〕
𮂘	〔示日月犬&nbsp;·&nbsp;fovm〕
𮂙	〔示日小&nbsp;·&nbsp;fogy〕
𮂚	〔示象&nbsp;·&nbsp;fwx〕
𮂛	〔示癶弓殳&nbsp;·&nbsp;fhbr〕
𮂜	〔示衣八一&nbsp;·&nbsp;fthf〕
𮂝	〔示户辶&nbsp;·&nbsp;fmiu〕
𮂞	〔示土丶寸&nbsp;·&nbsp;fgik〕
𮂟	〔示面且&nbsp;·&nbsp;fbfq〕
𮂠	〔示夫夫貝&nbsp;·&nbsp;fhho〕
𮂡	〔示日龷氺&nbsp;·&nbsp;folk〕
𮂢	〔示爪冂乂&nbsp;·&nbsp;fymb〕
𮂣	〔示艹氵寸&nbsp;·&nbsp;flkk〕
𮂤	〔示扌非&nbsp;·&nbsp;hfur〕
𮂥	〔示一手&nbsp;·&nbsp;fpfu〕
𮂦	〔示麻米&nbsp;·&nbsp;fzpm〕
𮂧	〔示齊小&nbsp;·&nbsp;fqyx〕
𮂨	〔示耳耳耳&nbsp;·&nbsp;fqqq〕
𮂩	〔示罒糹隹&nbsp;·&nbsp;fyiu〕
𮂪	〔示龜貝&nbsp;·&nbsp;fwob〕
𮂫	〔示⺮罒戈&nbsp;·&nbsp;fryp〕
𮂬	〔山㐅凵禸&nbsp;·&nbsp;vbmv〕
𮂭	〔田⽱𠂉灬&nbsp;·&nbsp;qvec〕
𮂮	〔乂乂⽱&nbsp;·&nbsp;pbbv〕
𮂯	〔禾十&nbsp;·&nbsp;xns〕
𮂰	〔禾阝&nbsp;·&nbsp;xte〕
𮂱	〔禾尤&nbsp;·&nbsp;xoy〕
𮂲	〔禾大丶&nbsp;·&nbsp;xmid〕
𮂳	〔禾云&nbsp;·&nbsp;xby〕
𮂴	〔禾王&nbsp;·&nbsp;xnw〕
𮂵	〔禾勹匕&nbsp;·&nbsp;xnvb〕
𮂶	〔禾丿廾&nbsp;·&nbsp;xtlc〕
𮂷	〔禾几冫&nbsp;·&nbsp;xowb〕
𮂸	〔禾欠&nbsp;·&nbsp;xeq〕
𮂹	〔禾文&nbsp;·&nbsp;xvw〕
𮂺	〔禾丿𠂇又&nbsp;·&nbsp;xtnr〕
𮂻	〔禾口&nbsp;·&nbsp;xdvb〕
𮂼	〔禾乃九丶&nbsp;·&nbsp;xvki〕
𮂽	〔禾夂⺀&nbsp;·&nbsp;xhwb〕
𮂾	〔禾穴&nbsp;·&nbsp;xex〕
𮂿	〔禾丶王&nbsp;·&nbsp;xinw〕
𮃀	〔禾亠幺&nbsp;·&nbsp;xziy〕
𮃁	〔禾羊&nbsp;·&nbsp;xgy〕
𮃂	〔禾一口&nbsp;·&nbsp;xfdb〕
𮃃	〔禾𠂇火&nbsp;·&nbsp;xnch〕
𮃄	〔禾乃木&nbsp;·&nbsp;xvem〕
𮃅	〔禾丿虫&nbsp;·&nbsp;xtcc〕
𮃆	〔禾冖又&nbsp;·&nbsp;xbwr〕
𮃇	〔禾龶⺝&nbsp;·&nbsp;xavy〕
𮃈	〔禾大丷ㄅ&nbsp;·&nbsp;xmha〕
𮃉	〔禾㇏&nbsp;·&nbsp;xaiu〕
𮃊	〔禾止丶&nbsp;·&nbsp;xssi〕
𮃋	〔禾山用&nbsp;·&nbsp;xvty〕
𮃌	〔禾勹米&nbsp;·&nbsp;xnpm〕
𮃍	〔禾亼口人&nbsp;·&nbsp;xjdj〕
𮃎	〔禾爪冂二&nbsp;·&nbsp;xymm〕
𮃏	〔禾夂用&nbsp;·&nbsp;xhty〕
𮃐	〔禾八厶心&nbsp;·&nbsp;xhkh〕
𮃑	〔禾子皿&nbsp;·&nbsp;xham〕
𮃒	〔禾肀用&nbsp;·&nbsp;xbty〕
𮃓	〔禾覀土&nbsp;·&nbsp;xvgt〕
𮃔	〔禾耂日&nbsp;·&nbsp;xqor〕
𮃕	〔禾罒方&nbsp;·&nbsp;xylf〕
𮃖	〔禾夕几王&nbsp;·&nbsp;xlon〕
𮃗	〔禾臼彡&nbsp;·&nbsp;xpes〕
𮃘	〔禾凵千乂&nbsp;·&nbsp;xmlb〕
𮃙	〔禾千龷凵&nbsp;·&nbsp;xllm〕
𮃚	〔禾禾火&nbsp;·&nbsp;xxch〕
𮃛	〔禾尤亠日&nbsp;·&nbsp;xozo〕
𮃜	〔禾日光&nbsp;·&nbsp;xomg〕
𮃝	〔禾舟殳&nbsp;·&nbsp;xirs〕
𮃞	〔禾夂鼠&nbsp;·&nbsp;xhps〕
𮃟	〔禾宀辛&nbsp;·&nbsp;xwnx〕
𮃠	〔禾冖日六&nbsp;·&nbsp;xwoa〕
𮃡	〔禾氵刀木&nbsp;·&nbsp;xkpe〕
𮃢	〔禾火亠日&nbsp;·&nbsp;xczo〕
𮃣	〔禾鱼&nbsp;·&nbsp;xwv〕
𮃤	〔禾土&nbsp;·&nbsp;xzhg〕
𮃥	〔禾⺊冎口&nbsp;·&nbsp;xyfd〕
𮃦	〔禾⺜&nbsp;·&nbsp;xowp〕
𮃧	〔禾冂口&nbsp;·&nbsp;ximd〕
𮃨	〔禾鹿&nbsp;·&nbsp;xxl〕
𮃩	〔禾夂丰辶&nbsp;·&nbsp;xhau〕
𮃪	〔禾米田&nbsp;·&nbsp;xpqt〕
𮃫	〔禾龴辶&nbsp;·&nbsp;xktu〕
𮃬	〔禾羊䒑口&nbsp;·&nbsp;xghd〕
𮃭	〔禾士口口&nbsp;·&nbsp;xgdd〕
𮃮	〔禾士口⺗&nbsp;·&nbsp;xgdh〕
𮃯	〔禾象&nbsp;·&nbsp;xwx〕
𮃰	〔亼册禾&nbsp;·&nbsp;joix〕
𮃱	〔禾厂里&nbsp;·&nbsp;xpxd〕
𮃲	〔禾千里&nbsp;·&nbsp;xlda〕
𮃳	〔禾豕&nbsp;·&nbsp;xgjs〕
𮃴	〔禾冂&nbsp;·&nbsp;xpmh〕
𮃵	〔禾⺊口禸&nbsp;·&nbsp;xydv〕
𮃶	〔禾鹿囗禾&nbsp;·&nbsp;xxrx〕
𮃷	〔禾麻非&nbsp;·&nbsp;xzrf〕
𮃸	〔穴丿七&nbsp;·&nbsp;etrq〕
𮃹	〔穴爪&nbsp;·&nbsp;eya〕
𮃺	〔穴一冂二&nbsp;·&nbsp;efmm〕
𮃻	〔穴㠯&nbsp;·&nbsp;eki〕
𮃼	〔穴臼&nbsp;·&nbsp;epj〕
𮃽	〔穴口牙&nbsp;·&nbsp;edly〕
𮃾	〔穴丿止廴&nbsp;·&nbsp;etsu〕
𮃿	〔穴亻日一&nbsp;·&nbsp;ejof〕
𮄀	〔穴冖又&nbsp;·&nbsp;ebwr〕
𮄁	〔穴土日乚&nbsp;·&nbsp;egoa〕
𮄂	〔穴亻土土&nbsp;·&nbsp;ejgg〕
𮄃	〔穴工丷&nbsp;·&nbsp;euhu〕
𮄄	〔穴龶⺝&nbsp;·&nbsp;eavy〕
𮄅	〔穴黾&nbsp;·&nbsp;edm〕
𮄆	〔穴忄未&nbsp;·&nbsp;ehaw〕
𮄇	〔穴氵未&nbsp;·&nbsp;ekaw〕
𮄈	〔穴甘欠&nbsp;·&nbsp;ezeq〕
𮄉	〔穴足刂&nbsp;·&nbsp;eppd〕
𮄊	〔穴亻彐又&nbsp;·&nbsp;ejbr〕
𮄋	〔穴爫田&nbsp;·&nbsp;eyqt〕
𮄌	〔穴王丿未&nbsp;·&nbsp;enta〕
𮄍	〔穴日儿&nbsp;·&nbsp;eopw〕
𮄎	〔穴彳又&nbsp;·&nbsp;ewbr〕
𮄏	〔穴工龶&nbsp;·&nbsp;euat〕
𮄐	〔穴牙一口&nbsp;·&nbsp;elfd〕
𮄑	〔穴⺊冎口&nbsp;·&nbsp;eyfd〕
𮄒	〔穴丿罒&nbsp;·&nbsp;etyu〕
𮄓	〔穴亠幺十&nbsp;·&nbsp;ezin〕
𮄔	〔穴爿⺧口&nbsp;·&nbsp;eaqd〕
𮄕	〔穴爿身&nbsp;·&nbsp;eazs〕
𮄖	〔穴十目心&nbsp;·&nbsp;enqh〕
𮄗	〔穴⺊口見&nbsp;·&nbsp;eyde〕
𮄘	〔穴彳田⽱&nbsp;·&nbsp;ewqv〕
𮄙	〔穴爿米女&nbsp;·&nbsp;eapb〕
𮄚	〔穴礻見&nbsp;·&nbsp;efej〕
𮄛	〔穴足刂火&nbsp;·&nbsp;eppc〕
𮄜	〔穴丷豕辶&nbsp;·&nbsp;ehju〕
𮄝	〔穴氵又&nbsp;·&nbsp;ekbr〕
𮄞	〔穴一&nbsp;·&nbsp;effb〕
𮄟	〔穴⻊見&nbsp;·&nbsp;epej〕
𮄠	〔穴氵尸雨&nbsp;·&nbsp;ekct〕
𮄡	〔穴爿⺊木&nbsp;·&nbsp;eaye〕
𮄢	〔穴口足火&nbsp;·&nbsp;edpc〕
𮄣	〔穴龶罒三&nbsp;·&nbsp;eayt〕
𮄤	〔穴革可&nbsp;·&nbsp;etiz〕
𮄥	〔穴宀爿夕&nbsp;·&nbsp;ewal〕
𮄦	〔穴爿艹目&nbsp;·&nbsp;ealq〕
𮄧	〔立寸&nbsp;·&nbsp;ikc〕
𮄨	〔立爪&nbsp;·&nbsp;iya〕
𮄩	〔立𠂇工&nbsp;·&nbsp;inug〕
𮄪	〔立干丷&nbsp;·&nbsp;iehb〕
𮄫	〔立生&nbsp;·&nbsp;ils〕
𮄬	〔立屮凵&nbsp;·&nbsp;ismk〕
𮄭	〔立土土&nbsp;·&nbsp;iggt〕
𮄮	〔立勹日&nbsp;·&nbsp;inor〕
𮄯	〔立龴&nbsp;·&nbsp;ikty〕
𮄰	〔立口王&nbsp;·&nbsp;idnw〕
𮄱	〔立日月&nbsp;·&nbsp;iovy〕
𮄲	〔立大可&nbsp;·&nbsp;imzk〕
𮄳	〔立亠亻&nbsp;·&nbsp;izjv〕
𮄴	〔音十㇏&nbsp;·&nbsp;xnxi〕
𮄵	〔立㇏日&nbsp;·&nbsp;iaio〕
𮄶	〔立亼⺝刂&nbsp;·&nbsp;ijvp〕
𮄷	〔立皿&nbsp;·&nbsp;ikam〕
𮄸	〔立曰罒又&nbsp;·&nbsp;ioyr〕
𮄹	〔立音儿&nbsp;·&nbsp;ixpe〕
𮄺	〔立羽立&nbsp;·&nbsp;izil〕
𮄻	〔立黑&nbsp;·&nbsp;iph〕
𮄼	〔立宀十見&nbsp;·&nbsp;iwne〕
𮄽	〔宀心皿立&nbsp;·&nbsp;whai〕
𮄾	〔立朩艹大&nbsp;·&nbsp;ielm〕
𮄿	〔竜竜竜&nbsp;·&nbsp;tttl〕
𮅀	〔⺮七刀&nbsp;·&nbsp;rrpd〕
𮅁	〔⺮不&nbsp;·&nbsp;rcb〕
𮅂	〔⺮亠儿&nbsp;·&nbsp;rzpe〕
𮅃	〔⺮人&nbsp;·&nbsp;rnjr〕
𮅄	〔⺮亻刀丶&nbsp;·&nbsp;rjpi〕
𮅅	〔⺮亻也&nbsp;·&nbsp;rjey〕
𮅆	〔⺮心丿&nbsp;·&nbsp;rhtp〕
𮅇	〔⺮戊丶&nbsp;·&nbsp;rnid〕
𮅈	〔⺮扌丿七&nbsp;·&nbsp;rutr〕
𮅉	〔⺮十廿&nbsp;·&nbsp;rnln〕
𮅊	〔⺮囗口&nbsp;·&nbsp;rrdk〕
𮅋	〔⺮竹&nbsp;·&nbsp;rru〕
𮅌	〔⺮人⺗&nbsp;·&nbsp;rjhx〕
𮅍	〔⺮礻乚&nbsp;·&nbsp;rfae〕
𮅎	〔⺮冖&nbsp;·&nbsp;rwti〕
𮅏	〔⺮コ冖&nbsp;·&nbsp;rnwy〕
𮅐	〔⺮艮&nbsp;·&nbsp;rig〕
𮅑	〔⺮扌亠几&nbsp;·&nbsp;ruzo〕
𮅒	〔⺮㇏卩&nbsp;·&nbsp;raiz〕
𮅓	〔⺮亻白&nbsp;·&nbsp;rjub〕
𮅔	〔⺮氵云&nbsp;·&nbsp;rkby〕
𮅕	〔⺮目大&nbsp;·&nbsp;rqmd〕
𮅖	〔⺮扌乍&nbsp;·&nbsp;ruwa〕
𮅗	〔⺮冂一七&nbsp;·&nbsp;rmfr〕
𮅘	〔⺮門&nbsp;·&nbsp;ram〕
𮅙	〔⺮臼儿&nbsp;·&nbsp;rppe〕
𮅚	〔⺮手辶&nbsp;·&nbsp;ruuc〕
𮅛	〔⺮亻一&nbsp;·&nbsp;rjfo〕
𮅜	〔⺮犭瓜&nbsp;·&nbsp;rmyg〕
𮅝	〔⺮户方&nbsp;·&nbsp;rmlf〕
𮅞	〔⺮宀且&nbsp;·&nbsp;rwfq〕
𮅟	〔⺮广亻寸&nbsp;·&nbsp;rxjk〕
𮅠	〔⺮巾⺊口&nbsp;·&nbsp;rryd〕
𮅡	〔⺮亻口木&nbsp;·&nbsp;rjde〕
𮅢	〔⺮王人彡&nbsp;·&nbsp;rnje〕
𮅣	〔⺮扌九土&nbsp;·&nbsp;rukg〕
𮅤	〔⺮木日一&nbsp;·&nbsp;reof〕
𮅥	〔⺮面&nbsp;·&nbsp;rbm〕
𮅦	〔⺮束力&nbsp;·&nbsp;rxsl〕
𮅧	〔⺮木日丨&nbsp;·&nbsp;reog〕
𮅨	〔⺮辶大十&nbsp;·&nbsp;rumn〕
𮅩	〔⺮王白&nbsp;·&nbsp;rnub〕
𮅪	〔⺮⺈彐心&nbsp;·&nbsp;rxbh〕
𮅫	〔⺮亼口廾&nbsp;·&nbsp;rjdl〕
𮅬	〔⺮宀臣&nbsp;·&nbsp;rwqc〕
𮅭	〔⺮力口木&nbsp;·&nbsp;rsde〕
𮅮	〔⺮了口凵&nbsp;·&nbsp;rrdm〕
𮅯	〔⺮車𠂉乙&nbsp;·&nbsp;ryea〕
𮅰	〔⺮耒井&nbsp;·&nbsp;raqj〕
𮅱	〔⺮工几心&nbsp;·&nbsp;ruoh〕
𮅲	〔⺮食力&nbsp;·&nbsp;rqsl〕
𮅳	〔⺮丰刀大&nbsp;·&nbsp;rapm〕
𮅴	〔⺮人夂用&nbsp;·&nbsp;rjht〕
𮅵	〔⺮亼口巴&nbsp;·&nbsp;rjdm〕
𮅶	〔⺮龶口&nbsp;·&nbsp;ratd〕
𮅷	〔⺮白匕儿&nbsp;·&nbsp;ruvp〕
𮅸	〔⺮木龴&nbsp;·&nbsp;rekt〕
𮅹	〔⺮木一火&nbsp;·&nbsp;refc〕
𮅺	〔⺮木彐又&nbsp;·&nbsp;rebr〕
𮅻	〔⺮龶攵&nbsp;·&nbsp;raph〕
𮅼	〔⺮車斤&nbsp;·&nbsp;rytj〕
𮅽	〔⺮虍一&nbsp;·&nbsp;rztf〕
𮅾	〔⺮日大日&nbsp;·&nbsp;romo〕
𮅿	〔⺮亻聿廴&nbsp;·&nbsp;rjbu〕
𮆀	〔⺮亻丨⺝&nbsp;·&nbsp;rjgv〕
𮆁	〔⺮月土卩&nbsp;·&nbsp;rvgz〕
𮆂	〔⺮丿大⺝&nbsp;·&nbsp;rtmv〕
𮆃	〔⺮舌丿夫&nbsp;·&nbsp;rath〕
𮆄	〔⺮忄隹&nbsp;·&nbsp;rhui〕
𮆅	〔⺮方&nbsp;·&nbsp;rlbo〕
𮆆	〔⺮氵龶円&nbsp;·&nbsp;rkav〕
𮆇	〔⺮手罒方&nbsp;·&nbsp;ruyl〕
𮆈	〔⺮耂日灬&nbsp;·&nbsp;rqoc〕
𮆉	〔⺮扌曰亾&nbsp;·&nbsp;ruof〕
𮆊	〔⺮酉皿&nbsp;·&nbsp;ryam〕
𮆋	〔⺮罒冖弋&nbsp;·&nbsp;rywp〕
𮆌	〔⺮虍⺿&nbsp;·&nbsp;rzlh〕
𮆍	〔⺮冂人𢎨&nbsp;·&nbsp;rmjt〕
𮆎	〔⺮⻊皮&nbsp;·&nbsp;rprp〕
𮆐	〔⺮氵白王&nbsp;·&nbsp;rkun〕
𮆑	〔⺮氵耂日&nbsp;·&nbsp;rkqo〕
𮆒	〔⺮氵匚木&nbsp;·&nbsp;rkne〕
𮆓	〔⺮力口貝&nbsp;·&nbsp;rsdo〕
𮆔	〔⺮虍&nbsp;·&nbsp;rzth〕
𮆕	〔⺮覀田十&nbsp;·&nbsp;rvqn〕
𮆖	〔⺮面攵&nbsp;·&nbsp;rbhp〕
𮆗	〔⺮艹氵各&nbsp;·&nbsp;rlks〕
𮆘	〔⺮罒冖戈&nbsp;·&nbsp;rywp〕
𮆙	〔⺮罒一&nbsp;·&nbsp;ryft〕
𮆚	〔⺮缶丿糸&nbsp;·&nbsp;rati〕
𮆛	〔⺮禾白十&nbsp;·&nbsp;rxun〕
𮆜	〔⺮羊耳又&nbsp;·&nbsp;rgqr〕
𮆝	〔⺮亡月十&nbsp;·&nbsp;rfvn〕
𮆞	〔⺮丿㠯辛&nbsp;·&nbsp;rtkn〕
𮆟	〔⺮壴皮&nbsp;·&nbsp;rhrp〕
𮆠	〔⺮土寸土&nbsp;·&nbsp;rgkg〕
𮆡	〔⺮土口辶&nbsp;·&nbsp;rgdu〕
𮆢	〔⺮手龷㇏&nbsp;·&nbsp;ruli〕
𮆣	〔⺮目大言&nbsp;·&nbsp;rqms〕
𮆤	〔⺮門亼口&nbsp;·&nbsp;rajd〕
𮆥	〔⺮高木&nbsp;·&nbsp;rgem〕
𮆦	〔⺮弓土隹&nbsp;·&nbsp;rbgu〕
𮆧	〔⺮尸彳龰&nbsp;·&nbsp;rcws〕
𮆨	〔⺮氵覀十&nbsp;·&nbsp;rkvn〕
𮆩	〔⺮土寸木&nbsp;·&nbsp;rgke〕
𮆪	〔⺮旡旡贝&nbsp;·&nbsp;rddo〕
𮆫	〔⺮夫夫貝&nbsp;·&nbsp;rhho〕
𮆬	〔⺮門八儿&nbsp;·&nbsp;rahp〕
𮆭	〔⺮日龷氺&nbsp;·&nbsp;rolk〕
𮆮	〔⺮舟殳皿&nbsp;·&nbsp;rira〕
𮆯	〔⺮乛夊&nbsp;·&nbsp;rxah〕
𮆰	〔⺮衤白十&nbsp;·&nbsp;rtun〕
𮆱	〔⺮忄丷曰&nbsp;·&nbsp;rhho〕
𮆲	〔⺮冖彡&nbsp;·&nbsp;riwe〕
𮆳	〔⺮宀丿田&nbsp;·&nbsp;rwtq〕
𮆴	〔⺮厂灬&nbsp;·&nbsp;rixc〕
𮆵	〔⺮䒑⺝衣&nbsp;·&nbsp;rhvt〕
𮆶	〔⺮一止鳥&nbsp;·&nbsp;rfsx〕
𮆷	〔⺮日龷糸&nbsp;·&nbsp;roli〕
𮆸	〔⺮金⺈&nbsp;·&nbsp;rzxb〕
𮆹	〔⺮禾口田&nbsp;·&nbsp;rxdq〕
𮆺	〔⺮人丨木&nbsp;·&nbsp;rjge〕
𮆻	〔⺮言曰亾&nbsp;·&nbsp;rsof〕
𮆼	〔⺮氵口木&nbsp;·&nbsp;rkde〕
𮆽	〔⺮辛勹言&nbsp;·&nbsp;rnns〕
𮆾	〔⺮革勹言&nbsp;·&nbsp;rtns〕
𮆿	〔⺮广虍皿&nbsp;·&nbsp;rxza〕
𮇀	〔⺮一大虫&nbsp;·&nbsp;rfmc〕
𮇁	〔⺮金罒&nbsp;·&nbsp;rzyg〕
𮇂	〔⺮糹十一&nbsp;·&nbsp;rinf〕
𮇃	〔米九&nbsp;·&nbsp;pkj〕
𮇄	〔米卩&nbsp;·&nbsp;pzj〕
𮇅	〔米三&nbsp;·&nbsp;pts〕
𮇆	〔米尤&nbsp;·&nbsp;poy〕
𮇇	〔米日&nbsp;·&nbsp;por〕
𮇈	〔米亻九&nbsp;·&nbsp;pjkj〕
𮇉	〔米方&nbsp;·&nbsp;plf〕
𮇊	〔㇗米一卜&nbsp;·&nbsp;apfy〕
𮇋	〔米广厶&nbsp;·&nbsp;pxks〕
𮇌	〔米大&nbsp;·&nbsp;pmmd〕
𮇍	〔米口卩&nbsp;·&nbsp;pdzj〕
𮇎	〔米口&nbsp;·&nbsp;pdvb〕
𮇏	〔米人彡&nbsp;·&nbsp;pjes〕
𮇐	〔米丶王&nbsp;·&nbsp;pinw〕
𮇑	〔米屮凵&nbsp;·&nbsp;psmk〕
𮇒	〔米力口&nbsp;·&nbsp;psdk〕
𮇓	〔米&nbsp;·&nbsp;hpm〕
𮇔	〔米一业&nbsp;·&nbsp;pfcy〕
𮇕	〔米士口&nbsp;·&nbsp;pgdk〕
𮇖	〔米匕日&nbsp;·&nbsp;pvor〕
𮇗	〔米艹乂&nbsp;·&nbsp;plbi〕
𮇘	〔米日十&nbsp;·&nbsp;pons〕
𮇙	〔米⺈厂⺋&nbsp;·&nbsp;pxxz〕
𮇚	〔米丿𠂇丶&nbsp;·&nbsp;ptni〕
𮇛	〔米䒑廾&nbsp;·&nbsp;phlc〕
𮇜	〔米艮&nbsp;·&nbsp;pig〕
𮇝	〔米羽&nbsp;·&nbsp;pzv〕
𮇞	〔米辛&nbsp;·&nbsp;pnx〕
𮇟	〔米足&nbsp;·&nbsp;ppu〕
𮇠	〔米口木&nbsp;·&nbsp;pdem〕
𮇡	〔米&nbsp;·&nbsp;pthb〕
𮇢	〔米⺈用&nbsp;·&nbsp;pxty〕
𮇣	〔米夕丶&nbsp;·&nbsp;plui〕
𮇤	〔米彐火&nbsp;·&nbsp;pbch〕
𮇥	〔米木木&nbsp;·&nbsp;peem〕
𮇦	〔止㐅凵米&nbsp;·&nbsp;sbmp〕
𮇧	〔米月月&nbsp;·&nbsp;pvvy〕
𮇨	〔米爫冖又&nbsp;·&nbsp;pywr〕
𮇩	〔米㐅凵殳&nbsp;·&nbsp;pbmr〕
𮇪	〔米小&nbsp;·&nbsp;pgyx〕
𮇫	〔米户方&nbsp;·&nbsp;pmlf〕
𮇬	〔止一大米&nbsp;·&nbsp;sfmp〕
𮇭	〔米一殳&nbsp;·&nbsp;pufr〕
𮇮	〔米⺈彐心&nbsp;·&nbsp;pxbh〕
𮇯	〔米食&nbsp;·&nbsp;pqs〕
𮇰	〔米䒑亼口&nbsp;·&nbsp;phjd〕
𮇱	〔米冖巾&nbsp;·&nbsp;piwr〕
𮇲	〔米癶心&nbsp;·&nbsp;phhx〕
𮇳	〔米爫冖又&nbsp;·&nbsp;pywr〕
𮇴	〔米亻龷日&nbsp;·&nbsp;pjlo〕
𮇵	〔禾人米&nbsp;·&nbsp;xpjp〕
𮇶	〔米田&nbsp;·&nbsp;pbqt〕
𮇷	〔米爫臼&nbsp;·&nbsp;pypj〕
𮇸	〔米白人干&nbsp;·&nbsp;puje〕
𮇹	〔米氵刀木&nbsp;·&nbsp;pkpe〕
𮇺	〔米丷夫日&nbsp;·&nbsp;phho〕
𮇻	〔米門月&nbsp;·&nbsp;pavy〕
𮇼	〔米彳𠂉夊&nbsp;·&nbsp;pweh〕
𮇽	〔艹臣𠂉米&nbsp;·&nbsp;lqep〕
